"","Gene_Clusters"
"NUSAP1","2"
"ITM2C","1"
"KLF13","2"
"FHL3","1"
"RPL15","2"
"TMED10","1"
"CWC25","1"
"PTPRJ","1"
"DUSP5","2"
"GBP4","1"
"PAXX","2"
"RASSF4","1"
"TIGIT","2"
"FCRL6","2"
"FAM53C","1"
"TRDC","2"
"RBM8A","2"
"BANP","1"
"NCS1","1"
"TPD52","2"
"ARG2","1"
"JOSD1","1"
"LYN","1"
"SERF2","1"
"USP18","1"
"EIF3J","1"
"DDX43","1"
"H2AFV","1"
"MLC1","1"
"COLGALT2","1"
"SBDS","2"
"IQGAP2","1"
"CD82","1"
"FOSB","1"
"SORL1","1"
"RSAD2","1"
"SIPA1L1","1"
"PPIA","2"
"HBA1","1"
"AC026979.2","2"
"COX4I1","2"
"EPG5","1"
"PARP9","1"
"LGALS1","1"
"IQCG","2"
"NDUFS5","1"
"CMIP","1"
"GIMAP1","2"
"ZCWPW2","1"
"MAPK1IP1L","1"
"RBM38","1"
"MMP24OS","1"
"ZNF331","1"
"RALGAPA1","1"
"GATD3A","2"
"TMBIM6","1"
"SNRPB","1"
"CAPG","1"
"CXXC5","1"
"MVB12B","2"
"APOL6","1"
"LAP3","1"
"ATP5F1E","2"
"ATP6V1D","1"
"MCTP2","1"
"USP15","1"
"MOB3A","1"
"STX5","1"
"SIAH2","2"
"AC006157.1","1"
"PEBP1","2"
"TMEM120B","1"
"NAPRT","1"
"RAP1A","2"
"IPCEF1","2"
"ATP6V0E1","1"
"RGS1","1"
"HOXC4","2"
"AL451085.1","2"
"SAMD3","2"
"C1orf174","1"
"B4GALT1","1"
"RTF2","1"
"KDM5B","1"
"GMFG","2"
"HIST1H2BG","2"
"FES","1"
"ARF6","2"
"SEPT6","2"
"NRARP","1"
"CEBPA","2"
"LYAR","2"
"RHBDD2","1"
"CHORDC1","1"
"LINC00299","1"
"RRAS2","2"
"HIST1H2AE","2"
"IFFO2","1"
"IGHV1-18","1"
"ARHGEF2","1"
"ALB","1"
"LINC002481","2"
"IL27RA","1"
"SATB1","1"
"ERP29","2"
"SPTY2D1","1"
"PTTG1IP","1"
"KRT81","1"
"DYNLL1","1"
"CD81","2"
"TSEN34","2"
"NSMCE3","2"
"TIAM1","1"
"IFIH1","1"
"TENT5A","1"
"BTF3","2"
"ST3GAL4","1"
"PTGES3","1"
"GNAL","1"
"RUNX3","2"
"DRAIC","2"
"ZNF80","2"
"SH3GLB1","1"
"TBXAS1","1"
"PRRG4","1"
"AC243829.2","2"
"AC022075.1","2"
"RALGDS","1"
"TCEAL4","2"
"AL031777.3","2"
"EIF3K","2"
"FKBP2","1"
"PARP8","2"
"GEM","1"
"KLHL6","1"
"TFDP2","1"
"AK5","1"
"CERCAM","1"
"VPS29","2"
"LTB","2"
"PKM","1"
"AC004556.1","1"
"BLVRB","1"
"GOLM1","1"
"HERPUD2","2"
"RFX1","1"
"CAST","1"
"ZNF267","1"
"HMGA1","1"
"IL2RA","1"
"WDSUB1","2"
"N4BP1","1"
"BIRC2","1"
"STK4","1"
"EIF4A2","1"
"CTNNB1","1"
"ATP6V1G1","1"
"FAM102B","1"
"CYSLTR1","1"
"PSMB3","1"
"RBM3","1"
"BID","1"
"LATS2","1"
"TGFBR3","1"
"HMGN2","1"
"SELL","2"
"IL12RB2","1"
