"","Clusters","gene_short_name","family","pval","qval","status","num_cells_expressed","use_for_ordering"
"TSTD1","1","TSTD1","negbinomial.size",5.80781114720314e-06,6.42383599096563e-06,"OK",4997,TRUE
"CELF2","1","CELF2","negbinomial.size",0.662070321801156,0.664828948141994,"OK",9138,TRUE
"SSR4","1","SSR4","negbinomial.size",1.8703161283941e-13,2.52912449032843e-13,"OK",11983,TRUE
"TRAPPC1","1","TRAPPC1","negbinomial.size",5.69735483042468e-15,8.13532760183747e-15,"OK",6433,TRUE
"RGS14","2","RGS14","negbinomial.size",2.88822177959192e-24,5.56354621663843e-24,"OK",2060,TRUE
"BCL2","2","BCL2","negbinomial.size",4.67734014935917e-26,9.43734956647445e-26,"OK",3351,TRUE
"GYPC","1","GYPC","negbinomial.size",1.49786397617228e-55,5.37891881509549e-55,"OK",9412,TRUE
"CSKMT","2","CSKMT","negbinomial.size",4.52747851322419e-06,5.01793607316468e-06,"OK",3693,TRUE
"NOSIP","1","NOSIP","negbinomial.size",9.88578675373197e-21,1.71127465832758e-20,"OK",3521,TRUE
"PIK3C2A","1","PIK3C2A","negbinomial.size",1.76072704037556e-37,4.72650612694876e-37,"OK",1797,TRUE
"NDUFA12","1","NDUFA12","negbinomial.size",9.02887463897389e-28,1.91246377850922e-27,"OK",6008,TRUE
"GNAS","2","GNAS","negbinomial.size",1.26558803791248e-29,2.82995923116718e-29,"OK",13714,TRUE
"TNIP1","1","TNIP1","negbinomial.size",7.68218346961463e-20,1.30892819682593e-19,"OK",3789,TRUE
"SMPD3","2","SMPD3","negbinomial.size",0.000358033542849191,0.000380673899235243,"OK",398,TRUE
"SUMO2","1","SUMO2","negbinomial.size",1.55330595210642e-20,2.6781562878528e-20,"OK",13008,TRUE
"PTP4A1","1","PTP4A1","negbinomial.size",7.24129911949425e-54,2.55388256750943e-53,"OK",6696,TRUE
"RAB7A","1","RAB7A","negbinomial.size",3.80470332768841e-49,1.24283155387894e-48,"OK",5076,TRUE
"NLRP3","1","NLRP3","negbinomial.size",1.23678484006314e-26,2.5451483093899e-26,"OK",387,TRUE
"ATP8A1","2","ATP8A1","negbinomial.size",8.83152748677405e-10,1.06894995082661e-09,"OK",2062,TRUE
"PDE7A","1","PDE7A","negbinomial.size",1.76234287306302e-78,8.41965130324603e-78,"OK",4132,TRUE
"GNAQ","2","GNAQ","negbinomial.size",4.79701164839334e-09,5.70121548787131e-09,"OK",864,TRUE
"DUSP6","1","DUSP6","negbinomial.size",2.10065242116518e-70,9.18611915626466e-70,"OK",2713,TRUE
"MID1IP1","2","MID1IP1","negbinomial.size",8.75877173724581e-35,2.19627467029898e-34,"OK",928,TRUE
"RFX2","1","RFX2","negbinomial.size",3.22883604629543e-12,4.19361999066754e-12,"OK",166,TRUE
"XCL2","1","XCL2","negbinomial.size",7.12349006300209e-13,9.47904904702548e-13,"OK",10459,TRUE
"KLRC3","2","KLRC3","negbinomial.size",2.54674990634654e-36,6.65530186369356e-36,"OK",729,TRUE
"SNRNP70","2","SNRNP70","negbinomial.size",0.000422098259224017,0.000447473667769742,"OK",5265,TRUE
"CERS6","1","CERS6","negbinomial.size",4.34409544991486e-34,1.07560993503029e-33,"OK",820,TRUE
"MALAT1","2","MALAT1","negbinomial.size",5.15094122548991e-35,1.3082425665208e-34,"OK",16287,TRUE
"YWHAE","1","YWHAE","negbinomial.size",2.3098000118966e-38,6.3097685463523e-38,"OK",4528,TRUE
"TRAF3","1","TRAF3","negbinomial.size",7.97784920288782e-13,1.05964206497634e-12,"OK",811,TRUE
"CCDC112","2","CCDC112","negbinomial.size",5.06041421405641e-40,1.43477626539717e-39,"OK",546,TRUE
"TRIO","2","TRIO","negbinomial.size",3.29979356781455e-17,5.18265912280214e-17,"OK",542,TRUE
"WIPF2","1","WIPF2","negbinomial.size",1.29505298411297e-13,1.76221450598559e-13,"OK",1709,TRUE
"FCGBP","2","FCGBP","negbinomial.size",2.51823720467251e-15,3.65110728404724e-15,"OK",173,TRUE
"LINC00484","2","LINC00484","negbinomial.size",1.32099467965446e-16,2.02776890316385e-16,"OK",274,TRUE
"C1orf56","1","C1orf56","negbinomial.size",1.81966695237372e-31,4.28540458164885e-31,"OK",6478,TRUE
"PSAP","1","PSAP","negbinomial.size",8.26661782224954e-38,2.23291333206217e-37,"OK",5612,TRUE
"PSMA7","1","PSMA7","negbinomial.size",4.42369901048574e-29,9.70172209680847e-29,"OK",10125,TRUE
"CSNK1D","1","CSNK1D","negbinomial.size",1.02038853811456e-62,4.09098473044451e-62,"OK",6340,TRUE
"H3F3B","1","H3F3B","negbinomial.size",4.26001733209126e-100,2.56666044258498e-99,"OK",16257,TRUE
"STARD3NL","1","STARD3NL","negbinomial.size",1.01850213293311e-23,1.94124000556408e-23,"OK",4821,TRUE
"PEG10","2","PEG10","negbinomial.size",1.62630239494604e-24,3.15232340897048e-24,"OK",184,TRUE
"ASF1A","2","ASF1A","negbinomial.size",2.82509617816196e-19,4.73176340574e-19,"OK",1220,TRUE
"SNTB2","2","SNTB2","negbinomial.size",0.0445244173415436,0.0456612109757958,"OK",2707,TRUE
"ARPC1B","2","ARPC1B","negbinomial.size",0.000229508515147194,0.0002446211151618,"OK",6530,TRUE
"SNRPD2","2","SNRPD2","negbinomial.size",2.30203821349887e-39,6.40143703215263e-39,"OK",9691,TRUE
"RNF19A","1","RNF19A","negbinomial.size",9.41757423156907e-05,0.00010152444586617,"OK",8923,TRUE
"RELT","1","RELT","negbinomial.size",2.1541250370294e-61,8.44900037127805e-61,"OK",2398,TRUE
"HELZ","1","HELZ","negbinomial.size",3.04430807974563e-80,1.49054271443979e-79,"OK",4157,TRUE
"ATP5MC2","2","ATP5MC2","negbinomial.size",1.45104308203721e-23,2.74156136318703e-23,"OK",13237,TRUE
"AHR","1","AHR","negbinomial.size",6.22561098991722e-16,9.28703592649962e-16,"OK",893,TRUE
"TTTY14","1","TTTY14","negbinomial.size",9.13352504171916e-09,1.07549488683436e-08,"OK",68,TRUE
"C1orf35","2","C1orf35","negbinomial.size",1.01777174104474e-11,1.30008651727093e-11,"OK",1751,TRUE
"ENOSF1","1","ENOSF1","negbinomial.size",8.25924852208117e-27,1.70938072942691e-26,"OK",1525,TRUE
"CCDC50","1","CCDC50","negbinomial.size",1.22046623994825e-24,2.37203519215749e-24,"OK",716,TRUE
"DNTTIP2","1","DNTTIP2","negbinomial.size",4.19117722427076e-20,7.16929290176915e-20,"OK",7500,TRUE
"GRAMD4","1","GRAMD4","negbinomial.size",1.25465764524522e-31,2.96766895587447e-31,"OK",542,TRUE
"RNASEH2C","1","RNASEH2C","negbinomial.size",6.88354223283218e-26,1.38116587446929e-25,"OK",4188,TRUE
"EIF3I","1","EIF3I","negbinomial.size",7.59227072034158e-20,1.29462540820919e-19,"OK",5713,TRUE
"IL1RL1","1","IL1RL1","negbinomial.size",0.000787125266791731,0.000830386529022989,"OK",88,TRUE
"DNAJC15","1","DNAJC15","negbinomial.size",1.91918002396167e-16,2.92735687199216e-16,"OK",3330,TRUE
"ATP1A1","2","ATP1A1","negbinomial.size",1.54031695923715e-34,3.84016952251194e-34,"OK",4772,TRUE
"AP000911.1","1","AP000911.1","negbinomial.size",6.67302037712422e-09,7.88761918146181e-09,"OK",380,TRUE
"FXR1","1","FXR1","negbinomial.size",1.45000461009291e-17,2.29734112439118e-17,"OK",5210,TRUE
"SRSF8","2","SRSF8","negbinomial.size",1.65954449681292e-19,2.79685471141198e-19,"OK",3227,TRUE
"CX3CR1","1","CX3CR1","negbinomial.size",1.40660685854215e-29,3.14204971799991e-29,"OK",1641,TRUE
"DRAP1","1","DRAP1","negbinomial.size",6.71559997904353e-30,1.515726987986e-29,"OK",8927,TRUE
"B3GNT7","1","B3GNT7","negbinomial.size",9.11511393672886e-80,4.44284991657638e-79,"OK",2378,TRUE
"DYNLT1","2","DYNLT1","negbinomial.size",0.00159053516453317,0.00167307020944348,"OK",3431,TRUE
"GLIPR2","1","GLIPR2","negbinomial.size",9.12312560416319e-46,2.84720279646474e-45,"OK",4719,TRUE
"PIK3R3","2","PIK3R3","negbinomial.size",1.16699369913379e-05,1.28032844381447e-05,"OK",1054,TRUE
"ADAM17","1","ADAM17","negbinomial.size",1.47033284967545e-13,1.99321996934129e-13,"OK",1612,TRUE
"ANXA11","1","ANXA11","negbinomial.size",1.82896628786441e-26,3.7389518175098e-26,"OK",6009,TRUE
"LINC02470","2","LINC02470","negbinomial.size",6.56666089364458e-31,1.53316334535146e-30,"OK",66,TRUE
"ITPRIPL1","2","ITPRIPL1","negbinomial.size",2.96099562331524e-21,5.21722137040679e-21,"OK",759,TRUE
"ULBP2","1","ULBP2","negbinomial.size",2.50070270307305e-13,3.37314935507802e-13,"OK",1347,TRUE
"CDC42","1","CDC42","negbinomial.size",2.42900545023982e-08,2.8219136698287e-08,"OK",14147,TRUE
"SZRD1","1","SZRD1","negbinomial.size",9.80034148789107e-19,1.6140425730627e-18,"OK",3671,TRUE
"BRD2","1","BRD2","negbinomial.size",6.62552671742904e-96,3.80179033071523e-95,"OK",11137,TRUE
"ARPC5L","1","ARPC5L","negbinomial.size",4.61879439784537e-11,5.80090622404552e-11,"OK",9374,TRUE
"CABIN1","2","CABIN1","negbinomial.size",1.29374226569099e-07,1.47690893383355e-07,"OK",2154,TRUE
"AL359504.2","2","AL359504.2","negbinomial.size",4.75781321064485e-18,7.66693674137346e-18,"OK",331,TRUE
"NAP1L3","2","NAP1L3","negbinomial.size",8.21404296819936e-23,1.51756892657789e-22,"OK",114,TRUE
"ELF1","1","ELF1","negbinomial.size",7.1806670308105e-32,1.70964509218748e-31,"OK",11014,TRUE
"GTF3A","2","GTF3A","negbinomial.size",5.7491797922901e-15,8.20392826939291e-15,"OK",8218,TRUE
"PATL2","2","PATL2","negbinomial.size",5.03168098231426e-26,1.01334410869449e-25,"OK",2218,TRUE
"CMTM7","2","CMTM7","negbinomial.size",1.72182862559175e-15,2.51153079281003e-15,"OK",1239,TRUE
"STYK1","2","STYK1","negbinomial.size",5.56632625885319e-27,1.16090015917813e-26,"OK",213,TRUE
"GCH1","1","GCH1","negbinomial.size",1.7078170780249e-36,4.46834166735345e-36,"OK",4152,TRUE
"AC006369.1","2","AC006369.1","negbinomial.size",6.62849413993418e-24,1.26895002555315e-23,"OK",278,TRUE
"ABCD2","2","ABCD2","negbinomial.size",8.06112244340138e-28,1.7108194305027e-27,"OK",154,TRUE
"SYNGR1","2","SYNGR1","negbinomial.size",1.16738137665765e-39,3.27561475545983e-39,"OK",5952,TRUE
"CXCL8","1","CXCL8","negbinomial.size",3.51731389781811e-07,3.97553613567873e-07,"OK",215,TRUE
"AIF1","1","AIF1","negbinomial.size",1.15800761325441e-10,1.43608834371001e-10,"OK",192,TRUE
"SELENOM","2","SELENOM","negbinomial.size",4.30037738875081e-42,1.25877443403516e-41,"OK",1670,TRUE
"MAZ","2","MAZ","negbinomial.size",0.401072873959775,0.406318105380081,"OK",6391,TRUE
"AC097534.2","2","AC097534.2","negbinomial.size",3.49841189623944e-25,6.89823218449396e-25,"OK",398,TRUE
"PSMB10","1","PSMB10","negbinomial.size",1.04466448352878e-24,2.03582862962616e-24,"OK",1782,TRUE
"S1PR1","1","S1PR1","negbinomial.size",4.8624048142993e-09,5.77260867116321e-09,"OK",1072,TRUE
"PGRMC1","2","PGRMC1","negbinomial.size",3.37288910137065e-15,4.86099432616142e-15,"OK",1463,TRUE
"NOP14-AS1","2","NOP14-AS1","negbinomial.size",5.41367242369807e-31,1.26669422729246e-30,"OK",806,TRUE
"F8A3","2","F8A3","negbinomial.size",1.16499209912906e-11,1.4872677239617e-11,"OK",252,TRUE
"SPSB2","2","SPSB2","negbinomial.size",5.95042572723118e-16,8.89488173836281e-16,"OK",488,TRUE
"LINC00324","2","LINC00324","negbinomial.size",1.31574608668645e-15,1.92827923109656e-15,"OK",995,TRUE
"ALYREF","1","ALYREF","negbinomial.size",5.21531795720888e-35,1.32149820668061e-34,"OK",5083,TRUE
"FBXO32","2","FBXO32","negbinomial.size",2.31249445121818e-28,4.99084623352461e-28,"OK",1845,TRUE
"SPATS2L","1","SPATS2L","negbinomial.size",5.99971334874283e-06,6.62595634084684e-06,"OK",936,TRUE
"MPC2","1","MPC2","negbinomial.size",8.77227292725123e-10,1.06296424464849e-09,"OK",5287,TRUE
"ZCCHC17","1","ZCCHC17","negbinomial.size",5.7817522302804e-30,1.30904181497685e-29,"OK",2278,TRUE
"PNRC1","2","PNRC1","negbinomial.size",7.75581927250392e-14,1.06673253025117e-13,"OK",15603,TRUE
"AL139246.5","2","AL139246.5","negbinomial.size",1.98507364746902e-07,2.25661674075487e-07,"OK",4477,TRUE
"LMOD3","2","LMOD3","negbinomial.size",7.21406001467218e-23,1.33737574118154e-22,"OK",915,TRUE
"MOB1A","1","MOB1A","negbinomial.size",9.54098865912731e-23,1.75823316921386e-22,"OK",6569,TRUE
"UVRAG","1","UVRAG","negbinomial.size",5.1688824808498e-17,8.03102156229457e-17,"OK",1906,TRUE
"RPS24","2","RPS24","negbinomial.size",7.93392642428409e-66,3.32856603757683e-65,"OK",16286,TRUE
"MANBA","1","MANBA","negbinomial.size",9.48695271582917e-15,1.34053423066016e-14,"OK",1109,TRUE
"LRP12","1","LRP12","negbinomial.size",7.47082040555788e-14,1.0294923417824e-13,"OK",188,TRUE
"PDE6G","1","PDE6G","negbinomial.size",4.7243334744633e-48,1.52713551506869e-47,"OK",422,TRUE
"INPP5K","1","INPP5K","negbinomial.size",7.69975830427129e-19,1.27098750091053e-18,"OK",1760,TRUE
"COL13A1","1","COL13A1","negbinomial.size",2.615274635968e-21,4.61556605810788e-21,"OK",144,TRUE
"NRXN2","1","NRXN2","negbinomial.size",1.03208057580249e-08,1.21069917193921e-08,"OK",82,TRUE
"SERPINA1","1","SERPINA1","negbinomial.size",1.58091637386409e-12,2.08070850419369e-12,"OK",111,TRUE
"SLC4A7","2","SLC4A7","negbinomial.size",7.92614494978573e-17,1.22361625594913e-16,"OK",2364,TRUE
"DDN-AS1","2","DDN-AS1","negbinomial.size",0.025731668738331,0.0265014195125545,"OK",1903,TRUE
"AIG1","2","AIG1","negbinomial.size",2.29380561276777e-19,3.85082381895766e-19,"OK",937,TRUE
"RNF213","1","RNF213","negbinomial.size",1.61395051066164e-44,4.90975968811374e-44,"OK",9205,TRUE
"BORCS6","1","BORCS6","negbinomial.size",1.26234350852702e-21,2.24796639572669e-21,"OK",2427,TRUE
"RAPGEF2","1","RAPGEF2","negbinomial.size",3.15579928166688e-16,4.77331146578485e-16,"OK",841,TRUE
"AC012615.1","2","AC012615.1","negbinomial.size",0.150238930354044,0.152774608503479,"OK",2910,TRUE
"PLEKHJ1","2","PLEKHJ1","negbinomial.size",3.0802705244664e-13,4.14460717591043e-13,"OK",3056,TRUE
"EIF1AX","2","EIF1AX","negbinomial.size",0.635062160812683,0.638003625198106,"OK",8433,TRUE
"TRABD2A","2","TRABD2A","negbinomial.size",5.04480224226757e-34,1.24626151064674e-33,"OK",351,TRUE
"CHD7","1","CHD7","negbinomial.size",8.19330472739983e-14,1.1254767545111e-13,"OK",1677,TRUE
"DNMBP","1","DNMBP","negbinomial.size",2.58686793065656e-15,3.74810724221382e-15,"OK",339,TRUE
"TMF1","1","TMF1","negbinomial.size",4.74779869993622e-29,1.04019953334966e-28,"OK",5406,TRUE
"ARAP2","1","ARAP2","negbinomial.size",3.38443808071074e-36,8.801973857388e-36,"OK",4481,TRUE
"ZFYVE28","1","ZFYVE28","negbinomial.size",2.35366289603637e-16,3.57499637360146e-16,"OK",2487,TRUE
"SERPINE2","1","SERPINE2","negbinomial.size",5.68005984821832e-29,1.24068980974678e-28,"OK",547,TRUE
"LAPTM5","1","LAPTM5","negbinomial.size",3.38302183103169e-27,7.08963705459685e-27,"OK",11374,TRUE
"CCR5","2","CCR5","negbinomial.size",4.76255836537485e-21,8.34409458360101e-21,"OK",175,TRUE
"MLF1","1","MLF1","negbinomial.size",4.0856071538823e-07,4.61065656439683e-07,"OK",1374,TRUE
"VCP","1","VCP","negbinomial.size",1.10317761684552e-18,1.81409571716296e-18,"OK",5017,TRUE
"SCRN1","1","SCRN1","negbinomial.size",1.88481173579259e-17,2.97536874449355e-17,"OK",197,TRUE
"HBP1","1","HBP1","negbinomial.size",9.0013992463393e-20,1.52889858772983e-19,"OK",4086,TRUE
"VPS4B","1","VPS4B","negbinomial.size",1.35283244681978e-16,2.07517226106937e-16,"OK",4210,TRUE
"RAD23B","1","RAD23B","negbinomial.size",2.01439890235577e-23,3.78944598370309e-23,"OK",2723,TRUE
"PDE4A","1","PDE4A","negbinomial.size",5.19123479240116e-43,1.54032671199974e-42,"OK",2854,TRUE
"PLOD1","1","PLOD1","negbinomial.size",1.25057989256518e-28,2.70979798898488e-28,"OK",558,TRUE
"OTUD6B-AS1","2","OTUD6B-AS1","negbinomial.size",1.32576174832293e-17,2.10819445169534e-17,"OK",5440,TRUE
"PTS","1","PTS","negbinomial.size",1.29217456432465e-33,3.17050523757936e-33,"OK",3566,TRUE
"BUD31","1","BUD31","negbinomial.size",5.24294203738238e-19,8.70079669401866e-19,"OK",8230,TRUE
"ITK","1","ITK","negbinomial.size",3.75441894989567e-17,5.88816681296002e-17,"OK",2748,TRUE
"LMAN1","1","LMAN1","negbinomial.size",1.6332594516021e-06,1.82042124898507e-06,"OK",3206,TRUE
"GAP43","2","GAP43","negbinomial.size",0.730044663286876,0.731731457795394,"OK",52,TRUE
"YWHAB","1","YWHAB","negbinomial.size",9.9752106581964e-10,1.20468997314187e-09,"OK",10147,TRUE
"NAP1L1","1","NAP1L1","negbinomial.size",4.51681036705713e-06,5.00867161868452e-06,"OK",8115,TRUE
"LINC01943","2","LINC01943","negbinomial.size",1.75768027443394e-29,3.90215815276072e-29,"OK",713,TRUE
"GALNT2","1","GALNT2","negbinomial.size",1.02629884867506e-31,2.43549475139628e-31,"OK",1153,TRUE
"RAB21","1","RAB21","negbinomial.size",7.33557650245266e-22,1.32259895542974e-21,"OK",5365,TRUE
"DDX39A","1","DDX39A","negbinomial.size",3.05259333809227e-36,7.95802277682949e-36,"OK",4333,TRUE
"COPA","1","COPA","negbinomial.size",9.49944330731281e-22,1.70283409368277e-21,"OK",3073,TRUE
"PTK2B","1","PTK2B","negbinomial.size",3.98724628581859e-37,1.06244928672488e-36,"OK",2710,TRUE
"KLHL21","1","KLHL21","negbinomial.size",1.36212584817321e-26,2.80042745468028e-26,"OK",1019,TRUE
"AL135925.1","2","AL135925.1","negbinomial.size",1.12351057449263e-06,1.25807663194348e-06,"OK",2099,TRUE
"VTI1B","1","VTI1B","negbinomial.size",5.37011328770558e-10,6.54737252447072e-10,"OK",2889,TRUE
"OSER1","1","OSER1","negbinomial.size",2.73367068121809e-30,6.28107172411234e-30,"OK",3536,TRUE
"ARL6IP1","1","ARL6IP1","negbinomial.size",1.39368268397637e-21,2.47575572608087e-21,"OK",6379,TRUE
"AGO2","1","AGO2","negbinomial.size",4.42622088787985e-35,1.12814020044787e-34,"OK",3216,TRUE
"LINC00239","2","LINC00239","negbinomial.size",1.97359707972591e-23,3.71914167326281e-23,"OK",415,TRUE
"CD99","1","CD99","negbinomial.size",1.01098809685813e-08,1.18827492810328e-08,"OK",14287,TRUE
"SSR3","1","SSR3","negbinomial.size",2.24469543409957e-15,3.26104782087205e-15,"OK",4040,TRUE
"CTSB","1","CTSB","negbinomial.size",4.262792810267e-15,6.11912482162086e-15,"OK",722,TRUE
"RAB5C","1","RAB5C","negbinomial.size",1.67421250349214e-21,2.97165869073195e-21,"OK",5501,TRUE
"VSTM4","1","VSTM4","negbinomial.size",2.46636788023176e-08,2.86378583095433e-08,"OK",168,TRUE
"ORAI2","1","ORAI2","negbinomial.size",1.88309723519111e-27,3.96162745211399e-27,"OK",1033,TRUE
"TUBA1A","1","TUBA1A","negbinomial.size",0.0114534233895702,0.0118863518334822,"OK",9187,TRUE
"ATM","1","ATM","negbinomial.size",0.900150924482907,0.900981705216163,"OK",6759,TRUE
"YES1","1","YES1","negbinomial.size",8.11843225756812e-96,4.64614236587474e-95,"OK",4295,TRUE
"IDH1","2","IDH1","negbinomial.size",4.59331717598354e-14,6.37014383293369e-14,"OK",623,TRUE
"URI1","2","URI1","negbinomial.size",4.74101320396486e-14,6.57077165456855e-14,"OK",4042,TRUE
"CSGALNACT1","1","CSGALNACT1","negbinomial.size",1.43883357045544e-08,1.67967169769529e-08,"OK",161,TRUE
"SP110","1","SP110","negbinomial.size",8.35097777541441e-20,1.41953532875187e-19,"OK",4500,TRUE
"APOC1","1","APOC1","negbinomial.size",1.89975004497679e-18,3.1051679333494e-18,"OK",124,TRUE
"NEDD4L","1","NEDD4L","negbinomial.size",1.77339737121107e-25,3.51921216665766e-25,"OK",326,TRUE
"ETF1","1","ETF1","negbinomial.size",1.16014434198805e-43,3.48043302596416e-43,"OK",4571,TRUE
"AC097376.2","2","AC097376.2","negbinomial.size",3.01951443960244e-22,5.48519834128786e-22,"OK",879,TRUE
"GTF2F1","1","GTF2F1","negbinomial.size",1.28524493857762e-15,1.88485211073351e-15,"OK",2716,TRUE
"CALCOCO2","1","CALCOCO2","negbinomial.size",1.27074222752428e-19,2.15499600586408e-19,"OK",2925,TRUE
"PDK3","1","PDK3","negbinomial.size",1.50933054096718e-26,3.10013062817974e-26,"OK",1079,TRUE
"PLEC","1","PLEC","negbinomial.size",7.16101764588176e-12,9.19612035163857e-12,"OK",1557,TRUE
"KIAA0232","1","KIAA0232","negbinomial.size",1.08838719351447e-23,2.0689849454276e-23,"OK",1592,TRUE
"NUDT15","2","NUDT15","negbinomial.size",4.70786494489954e-11,5.90935131104578e-11,"OK",1458,TRUE
"LINC01480","1","LINC01480","negbinomial.size",2.31872978924188e-18,3.77293691887894e-18,"OK",235,TRUE
"TNFSF8","2","TNFSF8","negbinomial.size",1.17159078998779e-06,1.31123860860862e-06,"OK",534,TRUE
"MINDY2","1","MINDY2","negbinomial.size",1.08610265058101e-20,1.87859381906715e-20,"OK",2010,TRUE
"TAP1","1","TAP1","negbinomial.size",4.58830163208016e-21,8.04529202908801e-21,"OK",5914,TRUE
"SREK1","1","SREK1","negbinomial.size",1.51822097634836e-22,2.78126798792196e-22,"OK",4293,TRUE
"NCF1","2","NCF1","negbinomial.size",8.73627558740656e-06,9.60901711414038e-06,"OK",1081,TRUE
"EDARADD","1","EDARADD","negbinomial.size",5.43081174068725e-07,6.11283376520531e-07,"OK",132,TRUE
"SC5D","1","SC5D","negbinomial.size",9.69944064909099e-24,1.8503154589163e-23,"OK",1178,TRUE
"ATP5F1A","2","ATP5F1A","negbinomial.size",5.17247246437601e-16,7.75870869656402e-16,"OK",5604,TRUE
"RAB1A","1","RAB1A","negbinomial.size",3.41334691623905e-26,6.92567770002105e-26,"OK",4068,TRUE
"HEXA","1","HEXA","negbinomial.size",2.42390934598629e-35,6.2218454099932e-35,"OK",3740,TRUE
"MPP6","2","MPP6","negbinomial.size",4.40719080062607e-29,9.67530045198173e-29,"OK",642,TRUE
"DGUOK","1","DGUOK","negbinomial.size",6.42005749762076e-26,1.28936154743884e-25,"OK",5494,TRUE
"SAMSN1","1","SAMSN1","negbinomial.size",0.0120651838920256,0.0125032889927394,"OK",6178,TRUE
"PLXNA4","1","PLXNA4","negbinomial.size",7.11567569931439e-25,1.39044149475792e-24,"OK",207,TRUE
"ZNRF1","1","ZNRF1","negbinomial.size",8.31438912094158e-12,1.06646422255011e-11,"OK",262,TRUE
"ORMDL1","2","ORMDL1","negbinomial.size",1.24079132084629e-18,2.03576125182723e-18,"OK",6719,TRUE
"SFT2D1","1","SFT2D1","negbinomial.size",5.10525800503894e-37,1.35205184529053e-36,"OK",3336,TRUE
"GPN1","1","GPN1","negbinomial.size",4.47797281832387e-13,5.98442578123504e-13,"OK",2249,TRUE
"ARF5","1","ARF5","negbinomial.size",3.20012240442563e-13,4.30053624237868e-13,"OK",3018,TRUE
"SAR1B","1","SAR1B","negbinomial.size",5.21908080725172e-23,9.70024530499484e-23,"OK",3238,TRUE
"AL355472.1","2","AL355472.1","negbinomial.size",3.48569191461091e-10,4.2594173311499e-10,"OK",1806,TRUE
"SLC35G2","2","SLC35G2","negbinomial.size",5.82726916228292e-28,1.24036769509241e-27,"OK",170,TRUE
"PCAT1","2","PCAT1","negbinomial.size",4.2489560047357e-21,7.46838377169508e-21,"OK",120,TRUE
"RASSF5","1","RASSF5","negbinomial.size",6.61506390523974e-37,1.74976507444695e-36,"OK",5749,TRUE
"SPHK1","1","SPHK1","negbinomial.size",1.5308879451236e-24,2.97003215829436e-24,"OK",518,TRUE
"MCTP1","1","MCTP1","negbinomial.size",1.6547859712769e-15,2.41699041865292e-15,"OK",113,TRUE
"KCTD20","1","KCTD20","negbinomial.size",3.69034295733466e-11,4.64289667892046e-11,"OK",1505,TRUE
"NFU1","1","NFU1","negbinomial.size",1.43229417333002e-09,1.72591447886268e-09,"OK",1540,TRUE
"COQ7","2","COQ7","negbinomial.size",0.000102409132001684,0.000110130592847235,"OK",3034,TRUE
"COX17","1","COX17","negbinomial.size",4.13929101897349e-08,4.78833185074854e-08,"OK",5059,TRUE
"PLIN2","1","PLIN2","negbinomial.size",5.04690844022439e-12,6.51591928978971e-12,"OK",5771,TRUE
"IRAK2","1","IRAK2","negbinomial.size",8.1710101114529e-33,1.97579943497674e-32,"OK",737,TRUE
"HDDC2","2","HDDC2","negbinomial.size",1.3657762090791e-23,2.58271019833702e-23,"OK",3830,TRUE
"MORC3","1","MORC3","negbinomial.size",1.80521164608223e-25,3.57907135315572e-25,"OK",2375,TRUE
"ICAM3","2","ICAM3","negbinomial.size",4.53054063247773e-16,6.80522342925499e-16,"OK",7864,TRUE
"LINC00426","2","LINC00426","negbinomial.size",3.65617328067102e-10,4.46522513838707e-10,"OK",546,TRUE
"ABLIM1","1","ABLIM1","negbinomial.size",5.61558343323035e-27,1.17004807556932e-26,"OK",1918,TRUE
"MAP1LC3A","1","MAP1LC3A","negbinomial.size",3.8532629269638e-24,7.40276996331663e-24,"OK",2229,TRUE
"NECTIN3","2","NECTIN3","negbinomial.size",3.85482926522439e-17,6.03255748648752e-17,"OK",921,TRUE
"RICTOR","1","RICTOR","negbinomial.size",3.2503518438461e-20,5.56873076564153e-20,"OK",3152,TRUE
"OTUD4","1","OTUD4","negbinomial.size",1.96404019032894e-22,3.58284539345961e-22,"OK",1774,TRUE
"GIMAP6","2","GIMAP6","negbinomial.size",7.37430144278936e-07,8.28320032595035e-07,"OK",1043,TRUE
"ASAP1","1","ASAP1","negbinomial.size",1.98303246578844e-23,3.7336783144923e-23,"OK",1269,TRUE
"FOXC1","1","FOXC1","negbinomial.size",6.25169814393871e-21,1.08915126700426e-20,"OK",90,TRUE
"DCP1B","2","DCP1B","negbinomial.size",2.00609525966851e-26,4.09719455576366e-26,"OK",387,TRUE
"ST3GAL5","2","ST3GAL5","negbinomial.size",0.000237451815910061,0.000252838973347531,"OK",2829,TRUE
"IGLV2-8","1","IGLV2-8","negbinomial.size",1.66505623345422e-05,1.8203160132874e-05,"OK",73,TRUE
"SLU7","1","SLU7","negbinomial.size",5.03188522531953e-19,8.36975387555066e-19,"OK",3290,TRUE
"SOS2","1","SOS2","negbinomial.size",4.58003923124388e-23,8.54914379739069e-23,"OK",2389,TRUE
"BACH2","1","BACH2","negbinomial.size",7.40858962373085e-21,1.28759862931668e-20,"OK",553,TRUE
"GRIK4","1","GRIK4","negbinomial.size",9.75068808741734e-13,1.2919512804892e-12,"OK",96,TRUE
"ARHGEF1","1","ARHGEF1","negbinomial.size",0.00884631814313519,0.00919830491488985,"OK",8326,TRUE
"SETX","1","SETX","negbinomial.size",2.04597003311656e-33,5.0030541170573e-33,"OK",2817,TRUE
